article_id,title,author,category,publish_date,views,likes,comments,read_time,bounce_rate,shares
1,AI Revolution,John Doe,Technology,2026-01-01,1200,320,45,5.6,32,120
2,Football Finals,Sarah Lee,Sports,2026-01-03,980,210,30,4.1,45,75
3,Healthy Eating,Mike Ross,Health,2026-01-04,870,150,20,3.9,40,60
4,Stock Market Today,Emma Stone,Finance,2026-01-05,1430,400,50,6.2,28,150
5,Movie Review,Chris Evans,Entertainment,2026-01-06,760,120,15,2.8,55,40
6,Future of AI,John Doe,Technology,2026-01-08,1600,500,72,7.1,25,200
7,Olympics 2026,Sarah Lee,Sports,2026-01-09,1100,280,35,4.8,38,95
8,Nutrition Myths,Mike Ross,Health,2026-01-10,920,170,22,3.7,42,70
9,Market Crash Alert,Emma Stone,Finance,2026-01-11,1800,620,85,8.0,20,240
10,Top Netflix Shows,Chris Evans,Entertainment,2026-01-12,890,140,18,3.1,50,55
